"No.","Time","Source","Destination","Protocol","Length","Info"
"23","15.232463","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=331 Ack=331 Win=501 Len=110 TSval=3801165623 TSecr=569663 [TCP segment of a reassembled PDU]"
"24","15.256650","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=331 Ack=441 Win=1425 Len=110 TSval=570175 TSecr=3801165623 [TCP segment of a reassembled PDU]"
"25","15.256684","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=441 Ack=441 Win=501 Len=0 TSval=3801165647 TSecr=570175"
"26","15.661899","192.168.1.5","224.0.0.251","MDNS","247","Standard query response 0x0000 PTR 3717effb6196dba0._spotify-connect._tcp.local PTR _spotify-connect._tcp.local SRV 0 0 35313 3717effb6196dba0.local TXT A 192.168.1.5"
"27","20.085807","192.168.1.7","157.240.216.60","TLSv1.2","97","Application Data"
"28","20.148264","157.240.216.60","192.168.1.7","TCP","66","443  >  38590 [ACK] Seq=1 Ack=32 Win=202 Len=0 TSval=207695208 TSecr=1151569030"
"29","20.236105","157.240.216.60","192.168.1.7","TLSv1.2","104","Application Data"
"30","20.236131","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=32 Ack=39 Win=501 Len=0 TSval=1151569180 TSecr=207695296"
"31","20.257332","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=441 Ack=441 Win=501 Len=110 TSval=3801170647 TSecr=570175 [TCP segment of a reassembled PDU]"
"32","20.473127","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=441 Ack=551 Win=1425 Len=110 TSval=570687 TSecr=3801170647 [TCP segment of a reassembled PDU]"
"33","20.473163","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=551 Ack=551 Win=501 Len=0 TSval=3801170863 TSecr=570687"
"34","24.261283","192.168.1.5","224.0.0.251","MDNS","448","Standard query response 0x0000 TXT, cache flush PTR _androidtvremote._tcp.local PTR MATIASMOREIRA._androidtvremote._tcp.local SRV, cache flush 0 0 6466 Android.local PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.5 AAAA, cache flush fe80::fa4f:adff:fe1c:cc48 NSEC, cache flush MATIASMOREIRA._androidtvremote._tcp.local NSEC, cache flush 5.1.168.192.in-addr.arpa NSEC, cache flush 8.4.C.C.C.1.E.F.F.F.D.A.F.4.A.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"35","24.261317","fe80::fa4f:adff:fe1c:cc48","ff02::fb","MDNS","468","Standard query response 0x0000 TXT, cache flush PTR _androidtvremote._tcp.local PTR MATIASMOREIRA._androidtvremote._tcp.local SRV, cache flush 0 0 6466 Android.local PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.1.5 AAAA, cache flush fe80::fa4f:adff:fe1c:cc48 NSEC, cache flush MATIASMOREIRA._androidtvremote._tcp.local NSEC, cache flush 5.1.168.192.in-addr.arpa NSEC, cache flush 8.4.C.C.C.1.E.F.F.F.D.A.F.4.A.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"36","25.474272","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=551 Ack=551 Win=501 Len=110 TSval=3801175864 TSecr=570687 [TCP segment of a reassembled PDU]"
"37","25.476463","HuiZhouG_1c:cc:48","IntelCor_7a:04:86","ARP","42","Who has 192.168.1.7? Tell 192.168.1.5"
"38","25.476471","IntelCor_7a:04:86","HuiZhouG_1c:cc:48","ARP","42","192.168.1.7 is at 64:32:a8:7a:04:86"
"39","25.479227","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=551 Ack=661 Win=1425 Len=110 TSval=571197 TSecr=3801175864 [TCP segment of a reassembled PDU]"
"40","25.479245","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=661 Ack=661 Win=501 Len=0 TSval=3801175869 TSecr=571197"
"41","26.821252","192.168.1.2","224.0.0.251","MDNS","136","Standard query 0x0004 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"42","26.821309","192.168.1.5","224.0.0.251","MDNS","456","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"43","26.821323","192.168.1.5","224.0.0.251","MDNS","408","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"44","27.641271","157.240.216.60","192.168.1.7","TLSv1.2","442","Application Data"
"45","27.641302","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=32 Ack=415 Win=499 Len=0 TSval=1151576585 TSecr=207702653"
"46","27.641322","157.240.216.60","192.168.1.7","TLSv1.2","738","Application Data"
"47","27.641328","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=32 Ack=1087 Win=494 Len=0 TSval=1151576585 TSecr=207702653"
"48","28.049827","157.240.216.60","192.168.1.7","TCP","1454","443  >  38590 [ACK] Seq=1087 Ack=32 Win=202 Len=1388 TSval=207703070 TSecr=1151576585 [TCP segment of a reassembled PDU]"
"49","28.049852","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=32 Ack=2475 Win=493 Len=0 TSval=1151576994 TSecr=207703070"
"50","28.085838","157.240.216.60","192.168.1.7","TLSv1.2","2842","[TCP Previous segment not captured] , Application Data"
"51","28.085876","192.168.1.7","157.240.216.60","TCP","78","[TCP Dup ACK 49#1] 38590  >  443 [ACK] Seq=32 Ack=2475 Win=493 Len=0 TSval=1151577030 TSecr=207703070 SLE=2709 SRE=5485"
"52","28.113275","157.240.216.60","192.168.1.7","TLSv1.2","896","Application Data"
"53","28.113307","192.168.1.7","157.240.216.60","TCP","78","[TCP Dup ACK 49#2] 38590  >  443 [ACK] Seq=32 Ack=2475 Win=493 Len=0 TSval=1151577057 TSecr=207703070 SLE=2709 SRE=6315"
"54","28.151252","157.240.216.60","192.168.1.7","TCP","300","[TCP Retransmission] 443  >  38590 [PSH, ACK] Seq=2475 Ack=32 Win=202 Len=234 TSval=207703209 TSecr=1151577030"
"55","28.151285","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=32 Ack=6315 Win=463 Len=0 TSval=1151577095 TSecr=207703209"
"56","28.189555","192.168.1.7","157.240.216.60","TLSv1.2","160","Application Data"
"57","28.253195","157.240.216.60","192.168.1.7","TCP","66","443  >  38590 [ACK] Seq=6315 Ack=126 Win=202 Len=0 TSval=207703313 TSecr=1151577134"
"58","28.388495","192.168.1.7","192.168.1.1","DNS","90","Standard query 0x6f28 A clients4.google.com OPT"
"59","28.401638","157.240.216.60","192.168.1.7","TLSv1.2","1469","[TCP Previous segment not captured] , Application Data"
"60","28.401657","192.168.1.7","157.240.216.60","TCP","78","[TCP Dup ACK 55#1] 38590  >  443 [ACK] Seq=126 Ack=6315 Win=501 Len=0 TSval=1151577346 TSecr=207703313 SLE=6348 SRE=7751"
"61","28.452886","192.168.1.1","192.168.1.7","DNS","130","Standard query response 0x6f28 A clients4.google.com CNAME clients.l.google.com A 216.58.222.78 OPT"
"62","28.454202","192.168.1.7","216.58.222.78","UDP","1392","54966  >  443 Len=1350"
"63","28.480633","157.240.216.60","192.168.1.7","TCP","99","[TCP Retransmission] 443  >  38590 [PSH, ACK] Seq=6315 Ack=126 Win=202 Len=33 TSval=207703540 TSecr=1151577346"
"64","28.480658","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=126 Ack=7751 Win=490 Len=0 TSval=1151577425 TSecr=207703540"
"65","28.543999","216.58.222.78","192.168.1.7","UDP","84","443  >  54966 Len=42"
"66","28.570854","216.58.222.78","192.168.1.7","UDP","1392","443  >  54966 Len=1350"
"67","28.570872","216.58.222.78","192.168.1.7","UDP","1392","443  >  54966 Len=1350"
"68","28.571961","192.168.1.7","216.58.222.78","UDP","1392","54966  >  443 Len=1350"
"69","28.658463","216.58.222.78","192.168.1.7","UDP","84","443  >  54966 Len=42"
"70","28.683668","216.58.222.78","192.168.1.7","UDP","1392","443  >  54966 Len=1350"
"71","28.683962","192.168.1.7","216.58.222.78","UDP","75","54966  >  443 Len=33"
"72","28.684101","192.168.1.7","216.58.222.78","UDP","1392","54966  >  443 Len=1350"
"73","28.684115","192.168.1.7","216.58.222.78","UDP","1109","54966  >  443 Len=1067"
"74","28.863334","192.168.1.7","216.58.222.78","UDP","1392","54966  >  443 Len=1350"
"75","28.935285","216.58.222.78","192.168.1.7","UDP","551","443  >  54966 Len=509"
"76","28.935443","192.168.1.7","216.58.222.78","UDP","77","54966  >  443 Len=35"
"77","28.938535","216.58.222.78","192.168.1.7","UDP","74","443  >  54966 Len=32"
"78","28.938634","192.168.1.7","216.58.222.78","UDP","79","54966  >  443 Len=37"
"79","28.938698","216.58.222.78","192.168.1.7","UDP","275","443  >  54966 Len=233"
"80","28.938779","192.168.1.7","216.58.222.78","UDP","79","54966  >  443 Len=37"
"81","28.970301","216.58.222.78","192.168.1.7","UDP","67","443  >  54966 Len=25"
"82","29.014411","216.58.222.78","192.168.1.7","UDP","523","443  >  54966 Len=481"
"83","29.014549","192.168.1.7","216.58.222.78","UDP","79","54966  >  443 Len=37"
"84","30.480018","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=661 Ack=661 Win=501 Len=110 TSval=3801180870 TSecr=571197 [TCP segment of a reassembled PDU]"
"85","30.485745","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=661 Ack=771 Win=1425 Len=110 TSval=571698 TSecr=3801180870 [TCP segment of a reassembled PDU]"
"86","30.485763","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=771 Ack=771 Win=501 Len=0 TSval=3801180876 TSecr=571698"
"87","33.476412","Fiberhom_dd:8c:b8","IntelCor_7a:04:86","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"88","33.476426","IntelCor_7a:04:86","Fiberhom_dd:8c:b8","ARP","42","192.168.1.7 is at 64:32:a8:7a:04:86"
"89","33.555584","192.168.1.7","192.168.1.5","TCP","66","40280  >  8008 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3801183946 TSecr=567502"
"90","33.558587","192.168.1.5","192.168.1.7","TCP","66","[TCP ACKed unseen segment] 8008  >  40280 [ACK] Seq=1 Ack=2 Win=1375 Len=0 TSval=572005 TSecr=3797710348"
"91","35.486852","192.168.1.7","192.168.1.5","AJP13","176","AJP13 Error? [TCP segment of a reassembled PDU]"
"92","35.505124","192.168.1.5","192.168.1.7","AJP13","176","AJP13 Error? [TCP segment of a reassembled PDU]"
"93","35.505148","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=881 Ack=881 Win=501 Len=0 TSval=3801185895 TSecr=572199"
"94","35.840385","192.168.1.7","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"95","35.845715","192.168.1.5","192.168.1.7","UDP","554","52219  >  40656 Len=512"
"96","36.841197","192.168.1.7","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"97","36.847383","192.168.1.5","192.168.1.7","UDP","554","57286  >  40656 Len=512"
"98","37.651576","192.168.1.7","192.168.1.5","TCP","66","40286  >  8008 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=3801188042 TSecr=567909"
"99","37.655697","192.168.1.5","192.168.1.7","TCP","66","[TCP ACKed unseen segment] 8008  >  40286 [ACK] Seq=1 Ack=2 Win=1358 Len=0 TSval=572415 TSecr=3797710107"
"100","37.695572","192.168.1.7","64.233.190.188","TCP","66","34116  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3028573504 TSecr=3733666431"
"101","37.791405","64.233.190.188","192.168.1.7","TCP","66","[TCP ACKed unseen segment] 443  >  34116 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=3733711530 TSecr=3027795345"
"102","37.842305","192.168.1.7","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"103","37.846309","192.168.1.5","192.168.1.7","UDP","554","58705  >  40656 Len=512"
"104","38.843445","192.168.1.7","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"105","38.848876","192.168.1.5","192.168.1.7","UDP","554","53461  >  40656 Len=512"
"106","40.506591","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=881 Ack=881 Win=501 Len=110 TSval=3801190897 TSecr=572199 [TCP segment of a reassembled PDU]"
"107","40.511341","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=881 Ack=991 Win=1425 Len=110 TSval=572701 TSecr=3801190897 [TCP segment of a reassembled PDU]"
"108","40.511370","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=991 Ack=991 Win=501 Len=0 TSval=3801190901 TSecr=572701"
"109","43.685129","192.168.1.7","216.58.222.78","UDP","75","54966  >  443 Len=33"
"110","43.767259","216.58.222.78","192.168.1.7","UDP","67","443  >  54966 Len=25"
"111","45.512376","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=991 Ack=991 Win=501 Len=110 TSval=3801195902 TSecr=572701 [TCP segment of a reassembled PDU]"
"112","45.516718","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=991 Ack=1101 Win=1425 Len=110 TSval=573201 TSecr=3801195902 [TCP segment of a reassembled PDU]"
"113","45.516747","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=1101 Ack=1101 Win=501 Len=0 TSval=3801195907 TSecr=573201"
"114","46.276075","fe80::1ecc:d6ff:fe82:29b4","ff02::2","ICMPv6","70","Router Solicitation from 1c:cc:d6:82:29:b4"
"115","46.788761","192.168.1.2","224.0.0.251","MDNS","136","Standard query 0x0005 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"116","46.788813","192.168.1.5","224.0.0.251","MDNS","456","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"117","46.788826","192.168.1.5","224.0.0.251","MDNS","408","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"118","50.518131","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=1101 Ack=1101 Win=501 Len=110 TSval=3801200908 TSecr=573201 [TCP segment of a reassembled PDU]"
"119","50.522778","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=1101 Ack=1211 Win=1425 Len=110 TSval=573702 TSecr=3801200908 [TCP segment of a reassembled PDU]"
"120","50.522796","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=1211 Ack=1211 Win=501 Len=0 TSval=3801200913 TSecr=573702"
"121","53.085775","192.168.1.7","157.240.216.60","TLSv1.2","97","Application Data"
"122","53.147955","157.240.216.60","192.168.1.7","TCP","66","443  >  38590 [ACK] Seq=7751 Ack=157 Win=202 Len=0 TSval=207728207 TSecr=1151602030"
"123","53.235907","157.240.216.60","192.168.1.7","TLSv1.2","104","Application Data"
"124","53.235931","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=157 Ack=7789 Win=501 Len=0 TSval=1151602180 TSecr=207728295"
"125","55.523812","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=1211 Ack=1211 Win=501 Len=110 TSval=3801205914 TSecr=573702 [TCP segment of a reassembled PDU]"
"126","55.530070","HuiZhouG_1c:cc:48","IntelCor_7a:04:86","ARP","42","Who has 192.168.1.7? Tell 192.168.1.5"
"127","55.530078","IntelCor_7a:04:86","HuiZhouG_1c:cc:48","ARP","42","192.168.1.7 is at 64:32:a8:7a:04:86"
"128","55.532130","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=1211 Ack=1321 Win=1425 Len=110 TSval=574203 TSecr=3801205914 [TCP segment of a reassembled PDU]"
"129","55.532151","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=1321 Ack=1321 Win=501 Len=0 TSval=3801205922 TSecr=574203"
"130","60.532610","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=1321 Ack=1321 Win=501 Len=110 TSval=3801210923 TSecr=574203 [TCP segment of a reassembled PDU]"
"131","60.536865","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=1321 Ack=1431 Win=1425 Len=110 TSval=574703 TSecr=3801210923 [TCP segment of a reassembled PDU]"
"132","60.536884","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=1431 Ack=1431 Win=501 Len=0 TSval=3801210927 TSecr=574703"
"133","63.889076","192.168.1.5","224.0.0.251","MDNS","247","Standard query response 0x0000 PTR 3717effb6196dba0._spotify-connect._tcp.local PTR _spotify-connect._tcp.local SRV 0 0 35313 3717effb6196dba0.local TXT A 192.168.1.5"
"134","63.960571","192.168.1.7","192.168.1.1","DNS","100","Standard query 0x964f AAAA connectivity-check.ubuntu.com OPT"
"135","64.025966","192.168.1.1","192.168.1.7","DNS","161","Standard query response 0x964f AAAA connectivity-check.ubuntu.com SOA ns1.canonical.com OPT"
"136","64.027054","192.168.1.7","192.168.1.1","DNS","100","Standard query 0xfef5 AAAA connectivity-check.ubuntu.com OPT"
"137","64.089911","192.168.1.1","192.168.1.7","DNS","161","Standard query response 0xfef5 AAAA connectivity-check.ubuntu.com SOA ns1.canonical.com OPT"
"138","64.811618","192.168.1.5","224.0.0.251","MDNS","247","Standard query response 0x0000 PTR 3717effb6196dba0._spotify-connect._tcp.local PTR _spotify-connect._tcp.local SRV 0 0 35313 3717effb6196dba0.local TXT A 192.168.1.5"
"139","65.537285","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=1431 Ack=1431 Win=501 Len=110 TSval=3801215927 TSecr=574703 [TCP segment of a reassembled PDU]"
"140","65.541689","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=1431 Ack=1541 Win=1425 Len=110 TSval=575204 TSecr=3801215927 [TCP segment of a reassembled PDU]"
"141","65.541707","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=1541 Ack=1541 Win=501 Len=0 TSval=3801215932 TSecr=575204"
"142","66.859760","192.168.1.2","224.0.0.251","MDNS","136","Standard query 0x0006 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"143","66.859794","192.168.1.5","224.0.0.251","MDNS","456","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"144","66.859800","192.168.1.5","224.0.0.251","MDNS","408","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"145","69.111127","Fiberhom_dd:8c:b8","IntelCor_7a:04:86","ARP","42","Who has 192.168.1.7? Tell 192.168.1.1"
"146","69.111139","IntelCor_7a:04:86","Fiberhom_dd:8c:b8","ARP","42","192.168.1.7 is at 64:32:a8:7a:04:86"
"147","70.542108","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=1541 Ack=1541 Win=501 Len=110 TSval=3801220932 TSecr=575204 [TCP segment of a reassembled PDU]"
"148","70.750799","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=1541 Ack=1651 Win=1425 Len=110 TSval=575715 TSecr=3801220932 [TCP segment of a reassembled PDU]"
"149","70.750834","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=1651 Ack=1651 Win=501 Len=0 TSval=3801221141 TSecr=575715"
"150","71.085732","192.168.1.7","157.240.216.60","TLSv1.2","97","Application Data"
"151","71.147739","157.240.216.60","192.168.1.7","TCP","66","443  >  38590 [ACK] Seq=7789 Ack=188 Win=202 Len=0 TSval=207746207 TSecr=1151620030"
"152","71.673237","157.240.216.60","192.168.1.7","TLSv1.2","104","Application Data"
"153","71.673294","192.168.1.7","157.240.216.60","TCP","66","38590  >  443 [ACK] Seq=188 Ack=7827 Win=501 Len=0 TSval=1151620617 TSecr=207746616"
"154","72.767629","192.168.1.7","216.58.222.78","UDP","108","54966  >  443 Len=66"
"155","75.752100","192.168.1.7","192.168.1.5","TCP","147","60876  >  8009 [PSH, ACK] Seq=1651 Ack=1651 Win=501 Len=81 TSval=3801226142 TSecr=575715 [TCP segment of a reassembled PDU]"
"156","75.752862","192.168.1.7","192.168.1.5","TCP","117","60876  >  8009 [PSH, ACK] Seq=1732 Ack=1651 Win=501 Len=51 TSval=3801226143 TSecr=575715 [TCP segment of a reassembled PDU]"
"157","75.753162","HuiZhouG_1c:cc:48","IntelCor_7a:04:86","ARP","42","Who has 192.168.1.7? Tell 192.168.1.5"
"158","75.753171","IntelCor_7a:04:86","HuiZhouG_1c:cc:48","ARP","42","192.168.1.7 is at 64:32:a8:7a:04:86"
"159","75.755456","192.168.1.5","192.168.1.7","TCP","66","8009  >  60876 [ACK] Seq=1651 Ack=1783 Win=1425 Len=0 TSval=576225 TSecr=3801226142"
"160","75.756568","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=1651 Ack=1783 Win=1425 Len=110 TSval=576225 TSecr=3801226142 [TCP segment of a reassembled PDU]"
"161","75.756587","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=1783 Ack=1761 Win=501 Len=0 TSval=3801226147 TSecr=576225"
"162","78.611603","192.168.1.7","192.168.1.5","TCP","66","[TCP Dup ACK 89#1] 40280  >  8008 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3801229002 TSecr=572005"
